product_id,sku,price,quantity
2224,W0189.Z3.DIW.01,1958.77,3
2225,W0190.Z3.DIW.03,2111.91,3
2226,W0190.Z3.DIW.04,2279.19,3
2227,W0190.Z3.DIW.01,1980.30,3
2228,W0191.Z3.DIW.03,2927.40,3
2229,W0191.Z3.DIW.01,2070.09,3
2230,W0192.Z3.DIW.01,2383.74,3
2234,W0196.Z3.DIW.01,1937.25,3
2235,W0197.Z3.DIW.01,4282.24,3
2236,W0198.Z3.DIW.01,5296.99,3
2237,W0199.Z3.DIW.01,4891.10,3
2238,W0200.Z3.DIW.01,3815.46,3
2239,W0201.Z3.DIW.01,3653.10,3
2240,W0202.Z3.DIW.01,4180.77,3
2244,W0207.Z3.DIW.01,2676.48,3
2245,W0207.Z3.DIW.02,2822.85,3
2246,W0208.Z3.DIW.01,2676.48,3
2247,W0208.Z3.DIW.02,2822.85,3
2248,W0209.Z3.DIW.01,1958.77,3
2249,W0209.Z3.DIW.02,2049.18,3
2250,W0210.Z3.DIW.01,2066.40,3
2251,W0210.Z3.DIW.02,2174.64,3
2252,W0211.Z3.DIW.01,1958.77,3
2253,W0211.Z3.DIW.02,2049.18,3
2254,W0214.Z3.DIW.01,3571.92,3
2255,W0215.Z3.DIW.01,4261.95,3
2256,W0220.Z3.DIW.06,4627.26,3
2257,W0220.Z3.DIW.07,4951.98,3
2258,W0220.Z3.DIW.10,7184.43,3
2259,W0220.Z3.DIW.11,10528.80,3
2260,W0220.Z3.DIW.12,19656.01,3
2262,W0220.Z3.DIW.02,2049.18,3
2263,W0220.Z3.DIW.03,2739.21,3
2264,W0220.Z3.DIW.04,3308.08,3
2265,W0221.Z3.DIW.04,4140.18,3
2266,W0221.Z3.DIW.06,4424.31,3
2267,W0221.Z3.DIW.07,4769.32,3
2268,W0221.Z3.DIW.01,2066.40,3
2269,W0221.Z3.DIW.02,2174.64,3
2270,W0221.Z3.DIW.03,2321.01,3
2271,W0222.Z3.DIW.14,2446.47,3
2273,W0222.Z3.DIW.07,3835.75,3
2274,W0222.Z3.DIW.08,4119.89,3
2275,W0222.Z3.DIW.09,4261.95,3
2276,W0222.Z3.DIW.10,4464.90,3
2277,W0222.Z3.DIW.12,1571.33,3
2279,W0222.Z3.DIW.01,2023.35,3
2280,W0222.Z3.DIW.02,2341.92,3
2281,W0222.Z3.DIW.03,2488.29,3
2282,W0222.Z3.DIW.05,2969.22,3
2285,W0223.Z3.DIW.03,4627.26,3
2286,W0223.Z3.DIW.04,4951.98,3
2287,W0223.Z3.DIW.01,1958.77,3
2288,W0223.Z3.DIW.02,2049.18,3
2289,W0224.Z3.DIW.03,4261.95,3
2290,W0224.Z3.DIW.04,4464.90,3
2291,W0224.Z3.DIW.01,1958.77,3
2292,W0224.Z3.DIW.02,2049.18,3
2294,W0225.Z3.DIW.04,4322.84,3
2295,W0225.Z3.DIW.05,4667.85,3
2296,W0225.Z3.DIW.01,2111.91,3
2297,W0225.Z3.DIW.02,2279.19,3
2304,W0228.Z3.DIW.02,2634.66,3
2306,W0228.Z3.DIW.04,4627.26,3
2307,W0228.Z3.DIW.05,4951.98,3
2308,W0228.Z3.DIW.06,5621.71,3
2309,W0228.Z3.DIW.07,7955.64,3
