product_id,name,price,quantity,sku,ean,category,manufacturer,weight,image,attributes_json,attributes_text,original_price,original_quantity,price_changed,quantity_changed
W0062.R3.DIW.01,"Pierścionek W0062 Diament 0,15ct różowe złoto",2676.48,3,W0062.R3.DIW.01,5906803032055,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/61784/W0062.R3.DIW.01_1.jpg,{},,1280.00,in stock,TAK,TAK
W0064.R3.DIW.01,Pierścionek W0064 z diamentami różowe złoto,2023.35,3,W0064.R3.DIW.01,5906803032062,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37963/W0064.R3.DIW.01_1.jpg,{},,940.00,in stock,TAK,TAK
W0070.R3.DIW.01,"Pierścionek W0070 Diament 0,10ct różowe złoto",2781.03,3,W0070.R3.DIW.01,5906803032369,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/38216/W0070.R3.DIW.01_1.jpg,{},,1330.00,in stock,TAK,TAK
W0071.R3.DIW.01,"Pierścionek W0071 Diament 0,10ct różowe złoto",2781.03,3,W0071.R3.DIW.01,5906803032376,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/38228/W0071.R3.DIW.01_1.jpg,{},,1330.00,in stock,TAK,TAK
W0072.R3.DIW.01,"Pierścionek W0072 Diament 0,10ct różowe złoto",3199.23,3,W0072.R3.DIW.01,5906803032413,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/38268/W0072.R3.DIW.01_1.jpg,{},,1530.00,in stock,TAK,TAK
W0083.R3.DIW.01,"Pierścionek W0083 Diament 0,05ct różowe złoto",2801.94,3,W0083.R3.DIW.01,5906803033137,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/38782/W0083.R3.DIW.01_1.jpg,{},,1340.00,in stock,TAK,TAK
W0088.R3.DIW.01,"Pierścionek W0088 Diament 0,04ct różowe złoto",1872.67,3,W0088.R3.DIW.01,5906803033519,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39030/W0088.R3.DIW.01_1.jpg,{},,870.00,in stock,TAK,TAK
W0088.R3.DIW.04,"Pierścionek W0088 Diament 0,10ct różowe złoto",2509.20,3,W0088.R3.DIW.04,5906803033526,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39034/W0088.R3.DIW.04_1.jpg,{},,1200.00,in stock,TAK,TAK
W0090.R3.DIW.01,Pierścionek W0090 z diamentami różowe złoto,1980.30,3,W0090.R3.DIW.01,5906803033533,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39066/W0090.R3.DIW.01_1.jpg,{},,920.00,in stock,TAK,TAK
W0091.R3.DIW.01,"Pierścionek W0091 Diament 0,04ct różowe złoto",1980.30,3,W0091.R3.DIW.01,5906803033557,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39086/W0091.R3.DIW.01_1.jpg,{},,920.00,in stock,TAK,TAK
W0096.R3.DIW.01,Pierścionek W0096 z diamentami różowe złoto,1937.25,3,W0096.R3.DIW.01,5906803033601,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39178/W0096.R3.DIW.01_1.jpg,{},,900.00,in stock,TAK,TAK
W0100.R3.DIW.01,Pierścionek W0100 z diamentami różowe złoto,1549.80,3,W0100.R3.DIW.01,5906803033625,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39214/W0100.R3.DIW.01_1.jpg,{},,720.00,in stock,TAK,TAK
W0111.R3.DIW.01,"Pierścionek W0111 Diament 0,04ct różowe złoto",1765.05,3,W0111.R3.DIW.01,5906803033847,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/62793/W0111.R3.DIW.01_1.jpg,{},,820.00,in stock,TAK,TAK
W0111.R3.DIW.04,"Pierścionek W0111 Diament 0,10ct różowe złoto",2404.65,3,W0111.R3.DIW.04,5906803033854,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/62804/W0111.R3.DIW.04_1.jpg,{},,1150.00,in stock,TAK,TAK
W0111.R3.DIW.07,"Pierścionek W0111T Diament 0,03ct różowe złoto",1722.00,3,W0111.R3.DIW.07,5906803033885,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49416/W0111.R3.DIW.07_1.jpg,{},,800.00,in stock,TAK,TAK
W0114.R3.DIW.01,Pierścionek W0114 z diamentami różowe złoto,1614.38,3,W0114.R3.DIW.01,5906803033915,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39483/W0114.R3.DIW.01_1.jpg,{},,750.00,in stock,TAK,TAK
W0116.R3.DIW.01,Pierścionek W0116 z diamentami różowe złoto,1786.58,3,W0116.R3.DIW.01,5906803033922,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39495/W0116.R3.DIW.01_1.jpg,{},,830.00,in stock,TAK,TAK
W0118.R3.DIW.01,Pierścionek W0118 z diamentami różowe złoto,1915.73,3,W0118.R3.DIW.01,5906803033939,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39507/W0118.R3.DIW.01_1.jpg,{},,890.00,in stock,TAK,TAK
W0133.R3.DIW.01,"Pierścionek W0133 Diament 0,15ct różowe złoto",2781.03,3,W0133.R3.DIW.01,5906803034127,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39719/W0133.R3.DIW.01_1.jpg,{},,1330.00,in stock,TAK,TAK
W0134.R3.DIW.01,"Pierścionek W0134 Diament 0,10ct różowe złoto",2509.20,3,W0134.R3.DIW.01,5906803034134,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39731/W0134.R3.DIW.01_1.jpg,{},,1200.00,in stock,TAK,TAK
W0137.R3.DIW.01,"Pierścionek W0137 Diament 0,04ct różowe złoto",1872.67,3,W0137.R3.DIW.01,5906803034141,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39743/W0137.R3.DIW.01_1.jpg,{},,870.00,in stock,TAK,TAK
W0155.R3.DIW.01,"Pierścionek W0155 Diament 0,12ct różowe złoto",2885.58,3,W0155.R3.DIW.01,5906803034226,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39839/W0155.R3.DIW.01_1.jpg,{},,1380.00,in stock,TAK,TAK
W0155.R3.DIW.05,"Pierścionek W0155 Diament 0,30ct różowe złoto",4444.60,3,W0155.R3.DIW.05,5906803034233,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39847/W0155.R3.DIW.05_1.jpg,{},,2190.00,in stock,TAK,TAK
W0155.R3.DIW.06,"Pierścionek W0155 Diament 0,50ct różowe złoto",8718.24,3,W0155.R3.DIW.06,5906803034240,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/61933/W0155.R3.DIW.06_1.jpg,{},,4430.00,in stock,TAK,TAK
W0156.R3.DIW.02,"Pierścionek W0156 Diament 0,05ct różowe złoto",1958.77,3,W0156.R3.DIW.02,5906803034257,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39879/W0156.R3.DIW.02_1.jpg,{},,910.00,in stock,TAK,TAK
W0156.R3.DIW.03,"Pierścionek W0156 Diament 0,10ct różowe złoto",3199.23,3,W0156.R3.DIW.03,5906803034264,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39883/W0156.R3.DIW.03_1.jpg,{},,1530.00,in stock,TAK,TAK
W0157.R3.DIW.01,Pierścionek W0157 z diamentami różowe złoto,2781.03,3,W0157.R3.DIW.01,5906803034271,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39899/W0157.R3.DIW.01_1.jpg,{},,1330.00,in stock,TAK,TAK
W0158.R3.DIW.01,"Pierścionek W0158 Diament 0,05ct różowe złoto",1743.52,3,W0158.R3.DIW.01,5906803034288,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39911/W0158.R3.DIW.01_1.jpg,{},,810.00,in stock,TAK,TAK
W0159.R3.DIW.01,Pierścionek W0159 z diamentami różowe złoto,2258.28,3,W0159.R3.DIW.01,5906803034295,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39923/W0159.R3.DIW.01_1.jpg,{},,1080.00,in stock,TAK,TAK
