product_id,price
W0210.Z3.DIW.02,2279.19
W0211.Z3.DIW.01,1722.00
W0211.Z3.DIW.02,1980.30
W0214.Z3.DIW.01,2906.49
W0215.Z3.DIW.01,3592.21
W0220.Z3.DIW.06,4606.96
W0220.Z3.DIW.07,4769.32
W0220.Z3.DIW.10,9111.84
W0220.Z3.DIW.11,14307.36
W0220.Z3.DIW.12,23430.88
W0220.Z3.DIW.02,1980.30
W0220.Z3.DIW.03,2781.03
W0220.Z3.DIW.04,3241.05
W0221.Z3.DIW.04,3754.57
W0221.Z3.DIW.06,4343.13
W0221.Z3.DIW.07,4525.78
W0221.Z3.DIW.01,1829.63
W0221.Z3.DIW.02,2001.83
W0221.Z3.DIW.03,2070.09
W0222.Z3.DIW.14,2216.46
W0222.Z3.DIW.07,3673.39
W0222.Z3.DIW.08,4282.24
W0222.Z3.DIW.09,4261.95
W0222.Z3.DIW.10,4444.60
W0222.Z3.DIW.12,1700.47
W0222.Z3.DIW.01,1872.67
W0222.Z3.DIW.02,2258.28
W0222.Z3.DIW.03,2509.20
W0222.Z3.DIW.05,3052.86
W0223.Z3.DIW.03,4444.60
W0223.Z3.DIW.04,4606.96
W0223.Z3.DIW.01,1722.00
W0223.Z3.DIW.02,1980.30
W0224.Z3.DIW.03,4261.95
W0224.Z3.DIW.04,4282.24
W0224.Z3.DIW.01,1722.00
W0224.Z3.DIW.02,1980.30
W0225.Z3.DIW.04,4343.13
W0225.Z3.DIW.05,4363.43
W0225.Z3.DIW.01,1958.77
W0225.Z3.DIW.02,2132.82
W0228.Z3.DIW.02,2676.48
W0228.Z3.DIW.04,4444.60
W0228.Z3.DIW.05,4606.96
W0228.Z3.DIW.06,6413.22
W0228.Z3.DIW.07,9721.92
W0228.Z3.DIW.08,14228.64
W0229.Z3.DIW.06,4343.13
W0229.Z3.DIW.07,4525.78
W0229.Z3.DIW.02,2321.01
W0230.Z3.DIW.01,1915.73
W0230.Z3.DIW.02,2049.18
W0231.Z3.DIW.04,4261.95
W0231.Z3.DIW.05,4444.60
W0231.Z3.DIW.01,1915.73
W0231.Z3.DIW.02,2049.18
W0234.Z3.DIW.03,4343.13
W0234.Z3.DIW.04,4525.78
W0234.Z3.DIW.06,23812.18
W0235.Z3.DIW.01,2087.92
W0237.Z3.DIW.01,1765.05
W0238.Z3.DIW.01,2760.12
W0239.Z3.DIW.01,3241.05
W0240.Z3.DIW.01,3345.60
W0241.Z3.DIW.03,3345.60
W0242.Z3.DIW.02,3241.05
W0243.Z3.DIW.01,3073.77
W0246.Z3.DIW.01,2530.11
W0248.Z3.DIW.01,2509.20
W0249.Z3.DIW.01,2404.65
W0256.Z3.DIW.01,3199.23
W0258.Z3.DIW.01,3324.69
W0262.Z3.DIW.02,3308.08
W0267.Z3.DIW.02,5337.59
W0269.Z3.DIW.01,2341.92
W0271.Z3.DIW.01,4546.08
W0272.Z3.DIW.01,3348.67
W0273.Z3.DIW.01,2551.02
W0276.Z3.DIW.01,2111.91
W0278.Z3.DIW.01,3052.86
W0285.Z3.DIW.01,1635.90
W0286.Z3.DIW.01,2001.83
W0288.Z3.DIW.01,2341.92
W0288.Z3.DIW.02,4140.18
W0291.Z3.DIW.01,4282.24
W0291.Z3.DIW.02,4891.10
W0292.Z3.DIW.02,3490.74
W0293.Z3.DIW.01,3998.11
W0294.Z3.DIW.01,3052.86
W0294.Z3.DIW.02,3368.97
W0294.Z3.DIW.03,3916.93
W0295.Z3.DIW.01,2885.58
W0295.Z3.DIW.02,3199.23
W0299.Z3.DIW.01,2697.39
W0302.Z3.DIW.01,3511.03
W0305.Z3.DIW.01,2153.73
W0306.Z3.DIW.01,1722.00
W0311.Z3.DIW.01,2153.73
W0314.Z3.DIW.01,2383.74
W0317.Z3.DIW.01,3571.92
W0318.Z3.DIW.02,2509.20
W0320.Z3.DIW.02,2300.10
W0320.Z3.DIW.03,2425.56
W0320.Z3.DIW.07,4485.19
W0322.Z3.DIW.01,1937.25
W0329.Z3.DIW.01,2676.48
W0331.Z3.DIW.01,2237.37
W0332.Z3.DIW.01,1894.20
W0335.Z3.DIW.01,2509.20
W0340.Z3.DIW.06,4282.24
W0340.Z3.DIW.02,2530.11
W0341.Z3.DIW.01,4505.49
W0343.Z3.DIW.01,3136.50
W0344.Z3.DIW.01,6230.56
W0345.Z3.DIW.01,5743.48
W0346.Z3.DIW.02,4302.54
W0346.Z3.DIW.01,2237.37
W0347.Z3.DIW.01,4444.60
W0349.Z3.DIW.01,3052.86
W0352.Z3.DIW.01,5073.75
W0353.Z3.DIW.01,3052.86
W0355.Z3.DIW.01,5154.93
W0356.Z3.DIW.01,6129.09
W0360.Z3.DIW.01,2718.30
W0361.Z3.DIW.01,2634.66
W0362.Z3.DIW.01,3571.92
W0364.Z3.DIW.01,4931.68
W0365.Z3.DIW.01,2781.03
W0367.Z3.DIW.01,2592.84
W0369.Z3.DIW.01,3052.86
W0377.Z3.DIW.01,4343.13
W0381.Z3.DIW.01,3303.78
W0382.Z3.DIW.01,3115.59
W0387.Z3.DIW.01,3693.69
