product_id,sku,price
2206,W0163.Z3.DIW.01,2132.82
2208,W0163.Z3.DIW.03,4606.96
2209,W0171.Z3.DIW.01,2153.73
2210,W0173.Z3.DIW.01,2676.48
2211,W0175.Z3.DIW.01,1614.38
2213,W0177.Z3.DIW.01,2906.49
2214,W0178.Z3.DIW.01,1958.77
2215,W0178.Z3.DIW.02,2132.82
2216,W0179.Z3.DIW.01,1463.70
2217,W0180.Z3.DIW.01,2404.65
2218,W0181.Z3.DIW.01,1872.67
2220,W0184.Z3.DIW.01,2948.31
2222,W0187.Z3.DIW.01,1678.95
2223,W0188.Z3.DIW.01,1765.05
2224,W0189.Z3.DIW.01,1743.52
2225,W0190.Z3.DIW.03,2044.88
2226,W0190.Z3.DIW.04,2237.37
2227,W0190.Z3.DIW.01,1678.95
2228,W0191.Z3.DIW.03,2237.37
2229,W0191.Z3.DIW.01,1678.95
2230,W0192.Z3.DIW.01,2044.88
2234,W0196.Z3.DIW.01,1528.27
2235,W0197.Z3.DIW.01,4180.77
2236,W0198.Z3.DIW.01,4951.98
2237,W0199.Z3.DIW.01,4485.19
2238,W0200.Z3.DIW.01,3876.35
2239,W0201.Z3.DIW.01,3366.51
2240,W0202.Z3.DIW.01,3856.05
2244,W0207.Z3.DIW.01,2446.47
2245,W0207.Z3.DIW.02,2676.48
2246,W0208.Z3.DIW.01,2341.92
2247,W0208.Z3.DIW.02,2592.84
2248,W0209.Z3.DIW.01,1722.00
2249,W0209.Z3.DIW.02,1980.30
2250,W0210.Z3.DIW.01,2087.92
2251,W0210.Z3.DIW.02,2279.19
2252,W0211.Z3.DIW.01,1722.00
2253,W0211.Z3.DIW.02,1980.30
2254,W0214.Z3.DIW.01,2906.49
2255,W0215.Z3.DIW.01,3592.21
2256,W0220.Z3.DIW.06,4606.96
2257,W0220.Z3.DIW.07,4769.32
2258,W0220.Z3.DIW.10,9111.84
2259,W0220.Z3.DIW.11,14307.36
2260,W0220.Z3.DIW.12,23430.88
2262,W0220.Z3.DIW.02,1980.30
2263,W0220.Z3.DIW.03,2781.03
2264,W0220.Z3.DIW.04,3241.05
2265,W0221.Z3.DIW.04,3754.57
2266,W0221.Z3.DIW.06,4343.13
2267,W0221.Z3.DIW.07,4525.78
2268,W0221.Z3.DIW.01,1829.63
2269,W0221.Z3.DIW.02,2001.83
2270,W0221.Z3.DIW.03,2070.09
2271,W0222.Z3.DIW.14,2216.46
2273,W0222.Z3.DIW.07,3673.39
2274,W0222.Z3.DIW.08,4282.24
2275,W0222.Z3.DIW.09,4261.95
2276,W0222.Z3.DIW.10,4444.60
2277,W0222.Z3.DIW.12,1700.47
2279,W0222.Z3.DIW.01,1872.67
2280,W0222.Z3.DIW.02,2258.28
2281,W0222.Z3.DIW.03,2509.20
2282,W0222.Z3.DIW.05,3052.86
2285,W0223.Z3.DIW.03,4444.60
2286,W0223.Z3.DIW.04,4606.96
2287,W0223.Z3.DIW.01,1722.00
2288,W0223.Z3.DIW.02,1980.30
2289,W0224.Z3.DIW.03,4261.95
2290,W0224.Z3.DIW.04,4282.24
2291,W0224.Z3.DIW.01,1722.00
2292,W0224.Z3.DIW.02,1980.30
2294,W0225.Z3.DIW.04,4343.13
2295,W0225.Z3.DIW.05,4363.43
2296,W0225.Z3.DIW.01,1958.77
2297,W0225.Z3.DIW.02,2132.82
2304,W0228.Z3.DIW.02,2676.48
2306,W0228.Z3.DIW.04,4444.60
2307,W0228.Z3.DIW.05,4606.96
2308,W0228.Z3.DIW.06,6413.22
2309,W0228.Z3.DIW.07,9721.92
2310,W0228.Z3.DIW.08,14228.64
2311,W0229.Z3.DIW.06,4343.13
2312,W0229.Z3.DIW.07,4525.78
2313,W0229.Z3.DIW.02,2321.01
2315,W0230.Z3.DIW.01,1915.73
2316,W0230.Z3.DIW.02,2049.18
2317,W0231.Z3.DIW.04,4261.95
2318,W0231.Z3.DIW.05,4444.60
2319,W0231.Z3.DIW.01,1915.73
2320,W0231.Z3.DIW.02,2049.18
2325,W0234.Z3.DIW.03,4343.13
2326,W0234.Z3.DIW.04,4525.78
2327,W0234.Z3.DIW.06,23812.18
2328,W0235.Z3.DIW.01,2087.92
2329,W0237.Z3.DIW.01,1765.05
2330,W0238.Z3.DIW.01,2760.12
2331,W0239.Z3.DIW.01,3241.05
2332,W0240.Z3.DIW.01,3345.60
2335,W0241.Z3.DIW.03,3345.60
2336,W0242.Z3.DIW.02,3241.05
2337,W0243.Z3.DIW.01,3073.77
2341,W0246.Z3.DIW.01,2530.11
2343,W0248.Z3.DIW.01,2509.20
2344,W0249.Z3.DIW.01,2404.65
2350,W0256.Z3.DIW.01,3199.23
2352,W0258.Z3.DIW.01,3324.69
2356,W0262.Z3.DIW.02,3308.08
2359,W0267.Z3.DIW.02,5337.59
2361,W0269.Z3.DIW.01,2341.92
